student_no,name,class_name
2022302181001,AA,1班
2022302181032,AB,2班
2022302181209,AC,3班
2023302031127,AD,4班
2023302051113,AE,5班
2023302051114,AF,6班
2023302052008,AG,1班
2023302061225,AH,2班
2023302071031,AI,3班
2023302081252,AJ,4班
2023302101096,AK,5班
2023302121405,AL,6班
2023302121450,AM,1班
2023302131189,AN,2班
2023302181004,AO,3班
2023302181006,AP,4班
2023302181009,AQ,5班
2023302181010,AR,6班
2023302181013,AS,1班
2023302181018,AT,2班
2023302181019,AU,3班
2023302181022,AV,4班
2023302181024,AW,5班
2023302181025,AX,6班
2023302181027,AY,1班
2023302181028,AZ,2班
2023302181031,BA,3班
2023302181032,BB,4班
2023302181033,BC,5班
2023302181035,BD,6班
2023302181039,BE,1班
2023302181040,BF,2班
2023302181041,BG,3班
2023302181043,BH,4班
2023302181045,BI,5班
2023302181047,BJ,6班
2023302181048,BK,1班
2023302181050,BL,2班
2023302181051,BM,3班
2023302181052,BN,4班
